mass percent,molality,molarity,density
0,0,0,0.9982
0.5,0.081,0.08,0.9988
1,0.163,0.161,0.9995
2,0.329,0.322,1.0007
3,0.498,0.484,1.0019
4,0.671,0.646,1.0032
5,0.848,0.809,1.0044
6,1.028,0.972,1.0057
7,1.213,1.136,1.007
8,1.401,1.299,1.0082
9,1.593,1.464,1.0095
10,1.79,1.628,1.0108
12,2.197,1.959,1.0134
14,2.623,2.292,1.0161
16,3.069,2.626,1.0188
18,3.537,2.962,1.0214
20,4.028,3.3,1.0241
24,5.088,3.981,1.0296
28,6.265,4.669,1.035
32,7.582,5.364,1.0405
36,9.062,6.067,1.046
40,10.741,6.776,1.0514
44,12.659,7.491,1.0567
48,14.872,8.212,1.0619
52,17.453,8.939,1.067
56,20.505,9.671,1.0719
60,24.166,10.406,1.0765
 , , , 
